registrationId,status,grade,RegistratedTo,RegistratedBy
R704,completed,5,I-4422,19871013-0089
R705,completed,3,I-3271,19871013-0089
R706,completed,5,I-2025,19871013-0089
R707,completed,4,I-2878,19871013-0089
R708,completed,3,I-2138,19871013-0089
R709,completed,4,I-2142,19871013-0089
R710,completed,4,I-2144,19871013-0089
R711,completed,3,I-543,19881120-0090
R712,completed,5,I-4629,19881120-0090
R713,completed,5,I-4630,19881120-0090
R714,completed,5,I-3577,19881120-0090
R715,completed,5,I-5069,19881120-0090
R716,completed,5,I-4750,19881120-0090
R717,completed,3,I-2563,19881120-0090
R718,completed,3,I-4748,19881120-0090
R719,completed,3,I-27,19881120-0090
R720,completed,3,I-4752,19881120-0090
R721,completed,4,I-1294,19881120-0090
R722,completed,4,I-2565,19881120-0090
R723,completed,3,I-3905,19881120-0090
R724,completed,4,I-5077,19881120-0090
R725,completed,4,I-4865,19881120-0090
R726,completed,3,I-3999,19870209-0091
R727,completed,4,I-5373,19870209-0091
R728,completed,4,I-4633,19870209-0091
R729,completed,5,I-5162,19870209-0091
R730,completed,3,I-4425,19870209-0091
R731,completed,5,I-1930,19870209-0091
R732,completed,3,I-4426,19870209-0091
R733,completed,5,I-4427,19870209-0091
R734,completed,5,I-1823,19870209-0091
R735,completed,3,I-4543,19870209-0091
R736,completed,3,I-4544,19870209-0091
R737,completed,5,I-4546,19870209-0091
R738,completed,5,I-3158,19870921-0092
R739,completed,5,I-3159,19870921-0092
R740,completed,5,I-3163,19870921-0092
R741,completed,3,I-3162,19870921-0092
R742,completed,4,I-3267,19870921-0092
R743,completed,4,I-3268,19870921-0092
R744,completed,5,I-3269,19870921-0092
R745,completed,5,I-3270,19870921-0092
R746,completed,5,I-1280,19890202-0093
R747,completed,4,I-1281,19890202-0093
R748,completed,4,I-1182,19890202-0093
R749,completed,3,I-5165,19890202-0093
R750,completed,3,I-4109,19890202-0093
R751,completed,5,I-1606,19890202-0093
R752,completed,5,I-1286,19890202-0093
R753,completed,3,I-1288,19890202-0093
R754,completed,3,I-1289,19890202-0093
R755,completed,4,I-1285,19890202-0093
R756,completed,3,I-1401,19890202-0093
R757,completed,3,I-4322,19890202-0093
R758,completed,3,I-1406,19890202-0093
R759,completed,4,I-1409,19890202-0093
R760,completed,3,I-3279,19860321-0097
R761,completed,3,I-2657,19860321-0097
R762,completed,5,I-2035,19860321-0097
R763,completed,4,I-2660,19860321-0097
R764,completed,5,I-976,19860321-0097
R765,completed,5,I-2980,19860321-0097
R766,completed,3,I-3080,19860321-0097
R767,completed,5,I-2662,19860321-0097
R768,completed,5,I-2661,19860321-0097
R769,completed,5,I-2570,19860321-0097
R770,completed,3,I-781,19860321-0097
R771,completed,4,I-2261,19860321-0097
R772,completed,3,I-4131,19860321-0097
R773,completed,4,I-2776,19860321-0097
R774,completed,4,I-2779,19860321-0097
R775,completed,3,I-5181,19860321-0097
R776,completed,4,I-1206,19860321-0097
R777,completed,3,I-2784,19860321-0097
R778,completed,4,I-5,19871128-0099
R779,completed,3,I-3161,19871128-0099
R780,completed,5,I-5359,19871128-0099
R781,completed,5,I-5366,19871128-0099
R782,completed,3,I-2655,19790702-0038
R783,completed,5,I-3580,19790702-0038
R784,completed,4,I-326,19790702-0038
R785,completed,3,I-5467,19790702-0038
R786,completed,5,I-25,19790702-0038
R787,completed,5,I-442,19790702-0038
R788,completed,4,I-443,19790702-0038
R789,completed,4,I-444,19790702-0038
R790,completed,5,I-4544,19790702-0038
R791,completed,3,I-563,19790702-0038
R792,completed,4,I-1093,19790702-0038
R793,completed,5,I-680,19790702-0038
R794,completed,5,I-3670,19790717-0045
R795,completed,3,I-3671,19790717-0045
R796,completed,3,I-3672,19790717-0045
R797,completed,4,I-3673,19790717-0045
R798,completed,3,I-4092,19780815-0047
R799,completed,3,I-4094,19780815-0047
R800,completed,4,I-4096,19780815-0047
R801,completed,4,I-642,19780815-0047
R802,completed,4,I-4419,19780815-0047
R803,completed,3,I-4209,19780815-0047
R804,completed,4,I-2129,19780815-0047
R805,completed,5,I-4212,19780815-0047
R806,completed,5,I-3678,19780815-0047
R807,completed,3,I-227,19780815-0047
R808,completed,5,I-2971,19780815-0047
R809,completed,3,I-5162,19780815-0047
R810,completed,5,I-2430,19790426-0049
R811,completed,4,I-3992,19790426-0049
R812,completed,4,I-5152,19790426-0049
R813,completed,4,I-4736,19790426-0049
R814,completed,4,I-2547,19790426-0049
R815,completed,4,I-2548,19790426-0049
R816,completed,4,I-2549,19790426-0049
R817,completed,3,I-2550,19790426-0049
R818,completed,4,I-1174,19780317-0052
R819,completed,5,I-2637,19780317-0052
R820,completed,4,I-3264,19780317-0052
R821,completed,4,I-2644,19780317-0052
R822,completed,4,I-2233,19780317-0052
R823,completed,4,I-2757,19780317-0052
R824,completed,5,I-22,19780317-0052
R825,completed,4,I-3070,19780317-0052
R826,completed,3,I-3377,19781130-0054
R827,completed,5,I-1916,19781130-0054
R828,completed,4,I-2975,19781130-0054
R829,completed,5,I-2445,19781130-0054
R830,completed,4,I-2555,19781130-0054
R831,completed,3,I-2556,19781130-0054
R832,completed,4,I-2557,19781130-0054
R833,completed,4,I-4959,19781130-0054
R834,completed,5,I-4097,19761009-0055
R835,completed,3,I-3162,19761009-0055
R836,completed,5,I-432,19761009-0055
R837,completed,3,I-430,19761009-0055
R838,completed,4,I-539,19761009-0055
R839,completed,4,I-2132,19761009-0055
R840,completed,4,I-541,19761009-0055
R841,completed,3,I-542,19761009-0055
R842,completed,5,I-4729,19750122-0056
R843,completed,5,I-425,19750122-0056
R844,completed,3,I-3,19750122-0056
R845,completed,4,I-3779,19750122-0056
R846,completed,5,I-3994,19770224-0058
R847,completed,3,I-1274,19770224-0058
R848,completed,5,I-5152,19770224-0058
R849,completed,5,I-1278,19770224-0058
R850,completed,5,I-1391,19770224-0058
R851,completed,4,I-2870,19770224-0058
R852,completed,3,I-1397,19770224-0058
R853,not started,,I-3810,19970308-0000
R854,completed,4,I-4245,19970308-0000
R855,registered,,I-3814,19970308-0000
R856,registered,,I-3196,19970308-0000
R857,registered,,I-3923,19970308-0000
R858,withdrawn,,I-3927,19970308-0000
R859,registered,,I-586,19970308-0000
R860,registered,,I-584,19970308-0000
R861,not started,,I-4043,19970308-0000
R862,withdrawn,,I-4685,19970308-0000
R863,withdrawn,,I-4047,19970308-0000
R864,registered,,I-2913,19970308-0000
R865,completed,3,I-343,19960213-0001
R866,withdrawn,,I-344,19960213-0001
R867,not started,,I-140,19960213-0001
R868,not started,,I-345,19960213-0001
R869,registered,,I-4865,19960213-0001
R870,withdrawn,,I-352,19960213-0001
R871,withdrawn,,I-5472,19960213-0001
R872,not started,,I-148,19960213-0001
R873,withdrawn,,I-461,19960213-0001
R874,not started,,I-1727,19960213-0001
R875,not started,,I-5474,19960213-0001
R876,completed,3,I-1540,19960213-0001
R877,registered,,I-4989,19960213-0001
R878,not started,,I-264,19960213-0001
R879,completed,3,I-1743,19960213-0001
R880,not started,,I-1438,19960213-0001
R881,withdrawn,,I-4563,19960213-0001
R882,not started,,I-3925,19960213-0001
R883,withdrawn,,I-589,19960213-0001
R884,withdrawn,,I-4879,19960213-0001
R885,not started,,I-1009,19960328-0002
R886,registered,,I-1010,19960328-0002
R887,completed,5,I-1011,19960328-0002
R888,not started,,I-1012,19960328-0002
R889,withdrawn,,I-2186,19960328-0002
R890,completed,3,I-1133,19960328-0002
R891,registered,,I-1132,19960328-0002
R892,completed,5,I-1134,19960328-0002
R893,completed,3,I-3643,19960328-0002
R894,registered,,I-1248,19960328-0002
R895,withdrawn,,I-1247,19960328-0002
R896,registered,,I-3334,19960328-0002
R897,registered,,I-1246,19960328-0002
R898,registered,,I-1251,19960328-0002
R899,not started,,I-5328,19960328-0002
R900,not started,,I-2826,19960328-0002
R901,registered,,I-1252,19960328-0002
R902,withdrawn,,I-718,19980905-0003
R903,not started,,I-5128,19980905-0003
R904,registered,,I-194,19980905-0003
R905,withdrawn,,I-2307,19980905-0003
R906,completed,5,I-836,19980905-0003
R907,not started,,I-1362,19980905-0003
R908,completed,3,I-838,19980905-0003
R909,withdrawn,,I-5134,19980905-0003
R910,not started,,I-944,19980905-0003
R911,not started,,I-945,19980905-0003
R912,withdrawn,,I-949,19980905-0003
R913,registered,,I-5463,19980905-0003
R914,completed,4,I-947,19980905-0003
R915,not started,,I-5147,19980905-0003
R916,completed,3,I-3400,19970413-0004
R917,completed,3,I-4766,19970413-0004
R918,not started,,I-3403,19970413-0004
R919,completed,4,I-3508,19970413-0004
R920,registered,,I-2170,19970413-0004
R921,registered,,I-1006,19970413-0004
R922,registered,,I-1534,19970413-0004
R923,registered,,I-2802,19970413-0004
R924,withdrawn,,I-1561,19990816-0005
R925,registered,,I-1564,19990816-0005
R926,registered,,I-3645,19990816-0005
R927,completed,3,I-1567,19990816-0005
R928,not started,,I-1669,19990816-0005
R929,registered,,I-1670,19990816-0005
R930,withdrawn,,I-1671,19990816-0005
R931,completed,4,I-5446,19990816-0005
R932,withdrawn,,I-4185,19990816-0005
R933,withdrawn,,I-4921,19990816-0005
R934,completed,3,I-1675,19990816-0005
R935,registered,,I-1680,19990816-0005
R936,registered,,I-1363,19990816-0005
R937,completed,3,I-1679,19990816-0005
R938,not started,,I-5003,19990626-0006
R939,not started,,I-5319,19990626-0006
R940,withdrawn,,I-5320,19990626-0006
R941,not started,,I-5321,19990626-0006
R942,not started,,I-5322,19990626-0006
R943,withdrawn,,I-4483,19990626-0006
R944,completed,5,I-3124,19990626-0006
R945,registered,,I-5324,19990626-0006
R946,registered,,I-5325,19990626-0006
R947,registered,,I-5436,19990626-0006
R948,withdrawn,,I-5437,19990626-0006
R949,registered,,I-2510,19990626-0006
R950,not started,,I-5439,19990626-0006
R951,withdrawn,,I-377,19950304-0007
R952,withdrawn,,I-4354,19950304-0007
R953,withdrawn,,I-4355,19950304-0007
R954,not started,,I-4362,19950304-0007
R955,completed,3,I-4476,19950304-0007
R956,completed,4,I-4477,19950304-0007
R957,registered,,I-4478,19950304-0007
R958,registered,,I-4479,19950304-0007
R959,not started,,I-1355,19950304-0007
R960,completed,3,I-2303,19950304-0007
R961,not started,,I-726,19950304-0007
R962,completed,3,I-4597,19950304-0007
R963,not started,,I-2168,19991025-0008
R964,registered,,I-2386,19991025-0008
R965,not started,,I-2274,19991025-0008
R966,not started,,I-1435,19991025-0008
R967,registered,,I-2276,19991025-0008
R968,registered,,I-2277,19991025-0008
R969,not started,,I-2691,19991025-0008
R970,completed,5,I-2280,19991025-0008
R971,completed,3,I-3926,19991025-0008
R972,withdrawn,,I-5095,19991025-0008
R973,not started,,I-4361,19991025-0008
R974,withdrawn,,I-3313,19991025-0008
R975,withdrawn,,I-2395,19991025-0008
R976,withdrawn,,I-2391,19991025-0008
R977,completed,3,I-2912,19950606-0009
R978,completed,5,I-2915,19950606-0009
R979,withdrawn,,I-4045,19950606-0009
R980,completed,4,I-2916,19950606-0009
R981,registered,,I-5418,19950606-0009
R982,completed,4,I-4887,19950606-0009
R983,withdrawn,,I-3119,19950606-0009
R984,completed,5,I-3319,19950606-0009
R985,withdrawn,,I-2920,19950606-0009
R986,registered,,I-71,19950606-0009
R987,not started,,I-3023,19950606-0009
R988,not started,,I-4904,19950606-0009
R989,not started,,I-1348,19950606-0009
R990,withdrawn,,I-714,19950606-0009
R991,registered,,I-395,19951026-0010
R992,completed,4,I-396,19951026-0010
R993,completed,3,I-1143,19951026-0010
R994,completed,3,I-192,19951026-0010
R995,completed,5,I-2935,19951026-0010
R996,registered,,I-403,19951026-0010
R997,not started,,I-5526,19951026-0010
R998,not started,,I-402,19951026-0010
R999,not started,,I-5503,19951026-0010
R1000,not started,,I-401,19951026-0010
R1001,not started,,I-5482,19951026-0010
R1002,not started,,I-2621,19951026-0010
R1003,completed,3,I-4072,19951026-0010
R1004,not started,,I-515,19951026-0010
R1005,registered,,I-516,19951026-0010
R1006,registered,,I-1380,19951026-0010
R1007,not started,,I-631,19951026-0010
R1008,registered,,I-632,19951026-0010
R1009,registered,,I-639,19951026-0010
R1010,registered,,I-3023,19990305-0011
R1011,not started,,I-2713,19990305-0011
R1012,withdrawn,,I-818,19990305-0011
R1013,registered,,I-2715,19990305-0011
R1014,registered,,I-2822,19990305-0011
R1015,registered,,I-1570,19990305-0011
R1016,completed,4,I-2308,19990305-0011
R1017,registered,,I-4385,19990305-0011
R1018,registered,,I-3431,19970727-0012
R1019,completed,5,I-3434,19970727-0012
R1020,not started,,I-3435,19970727-0012
R1021,withdrawn,,I-3437,19970727-0012
R1022,not started,,I-4383,19970727-0012
R1023,completed,3,I-3034,19970727-0012
R1024,withdrawn,,I-3538,19970727-0012
R1025,completed,3,I-3540,19970727-0012
R1026,withdrawn,,I-5297,19990219-0013
R1027,withdrawn,,I-687,19990219-0013
R1028,withdrawn,,I-690,19990219-0013
R1029,not started,,I-688,19990219-0013
R1030,not started,,I-796,19990219-0013
R1031,withdrawn,,I-799,19990219-0013
R1032,not started,,I-370,19990219-0013
R1033,completed,3,I-801,19990219-0013
R1034,withdrawn,,I-2808,19990219-0013
R1035,not started,,I-3430,19990219-0013
R1036,not started,,I-4255,19990219-0013
R1037,completed,3,I-4154,19990219-0013
R1038,withdrawn,,I-4965,19970318-0014
R1039,withdrawn,,I-1416,19970318-0014
R1040,withdrawn,,I-3089,19970318-0014
R1041,registered,,I-883,19970318-0014
R1042,withdrawn,,I-4243,19970318-0014
R1043,completed,4,I-3199,19970318-0014
R1044,registered,,I-2376,19970318-0014
R1045,completed,3,I-3812,19970318-0014
R1046,withdrawn,,I-1848,19970318-0014
R1047,withdrawn,,I-3306,19970318-0014
R1048,not started,,I-3926,19970318-0014
R1049,completed,5,I-5093,19970318-0014
R1050,withdrawn,,I-1514,19970109-0015
R1051,registered,,I-991,19970109-0015
R1052,completed,4,I-1516,19970109-0015
R1053,withdrawn,,I-2041,19970109-0015
R1054,withdrawn,,I-3608,19970109-0015
R1055,registered,,I-2677,19970109-0015
R1056,registered,,I-4243,19970109-0015
R1057,not started,,I-3510,19970109-0015
R1058,registered,,I-2883,19950717-0016
R1059,not started,,I-2884,19950717-0016
R1060,not started,,I-143,19950717-0016
R1061,not started,,I-2891,19950717-0016
R1062,not started,,I-1309,19950717-0016
R1063,registered,,I-2997,19950717-0016
R1064,not started,,I-2901,19950717-0016
R1065,completed,4,I-4139,19950717-0016
R1066,withdrawn,,I-1966,19990705-0017
R1067,withdrawn,,I-2922,19990705-0017
R1068,withdrawn,,I-3622,19990705-0017
R1069,completed,3,I-3624,19990705-0017
R1070,completed,3,I-3625,19990705-0017
R1071,completed,5,I-2598,19990705-0017
R1072,withdrawn,,I-1547,19990705-0017
R1073,registered,,I-3628,19990705-0017
R1074,completed,3,I-2912,19990705-0017
R1075,completed,4,I-3737,19990705-0017
R1076,withdrawn,,I-3738,19990705-0017
R1077,withdrawn,,I-3331,19990705-0017
R1078,withdrawn,,I-5009,19990705-0017
R1079,registered,,I-4669,19971007-0018
R1080,registered,,I-3511,19971007-0018
R1081,not started,,I-4671,19971007-0018
R1082,registered,,I-4676,19971007-0018
R1083,withdrawn,,I-4786,19971007-0018
R1084,not started,,I-172,19971007-0018
R1085,registered,,I-4789,19971007-0018
R1086,registered,,I-4792,19971007-0018
R1087,withdrawn,,I-4896,19971007-0018
R1088,registered,,I-2089,19971007-0018
R1089,withdrawn,,I-4897,19971007-0018
R1090,not started,,I-4899,19971007-0018
R1091,not started,,I-3502,19990124-0019
R1092,registered,,I-4454,19990124-0019
R1093,completed,5,I-2678,19990124-0019
R1094,completed,4,I-2684,19990124-0019
R1095,not started,,I-2794,19990124-0019
R1096,completed,4,I-2795,19990124-0019
R1097,completed,5,I-2800,19990124-0019
R1098,completed,3,I-2796,19990124-0019
R1099,withdrawn,,I-1226,19990124-0019
R1100,completed,5,I-2799,19990124-0019
R1101,withdrawn,,I-5201,19990124-0019
R1102,registered,,I-2802,19990124-0019
R1103,completed,3,I-2801,19990124-0019
R1104,not started,,I-2803,19990124-0019
R1105,registered,,I-4124,19990831-0020
R1106,withdrawn,,I-2565,19990831-0020
R1107,withdrawn,,I-4126,19990831-0020
R1108,registered,,I-985,19990831-0020
R1109,registered,,I-4237,19990831-0020
R1110,withdrawn,,I-4238,19990831-0020
R1111,registered,,I-2896,19990831-0020
R1112,withdrawn,,I-2166,19990831-0020
R1113,registered,,I-3848,19971122-0021
R1114,withdrawn,,I-3849,19971122-0021
R1115,not started,,I-1667,19971122-0021
R1116,completed,5,I-3851,19971122-0021
R1117,withdrawn,,I-2937,19971122-0021
R1118,withdrawn,,I-3856,19971122-0021
R1119,not started,,I-3857,19971122-0021
R1120,completed,4,I-1562,19971122-0021
R1121,withdrawn,,I-3858,19971122-0021
R1122,not started,,I-5242,19971122-0021
R1123,registered,,I-3966,19971122-0021
R1124,completed,5,I-3859,19971122-0021
R1125,withdrawn,,I-4714,19971122-0021
R1126,not started,,I-4081,19971122-0021
R1127,withdrawn,,I-4291,19971122-0021
R1128,registered,,I-4083,19971122-0021
R1129,not started,,I-4085,19971122-0021
R1130,withdrawn,,I-4086,19971122-0021
R1131,withdrawn,,I-1483,19971122-0021
R1132,registered,,I-4087,19971122-0021
R1133,withdrawn,,I-4088,19971122-0021
R1134,registered,,I-2630,19971122-0021
R1135,withdrawn,,I-3087,19980414-0022
R1136,completed,3,I-4966,19980414-0022
R1137,withdrawn,,I-3599,19980414-0022
R1138,completed,4,I-2668,19980414-0022
R1139,not started,,I-2460,19980414-0022
R1140,withdrawn,,I-3592,19980414-0022
R1141,completed,4,I-4971,19980414-0022
R1142,not started,,I-4970,19980414-0022
R1143,not started,,I-5080,19980414-0022
R1144,registered,,I-5081,19980414-0022
R1145,registered,,I-5195,19980414-0022
R1146,completed,4,I-5083,19980414-0022
R1147,completed,5,I-363,19980414-0022
R1148,registered,,I-5200,19980414-0022
R1149,completed,5,I-2380,19980414-0022
R1150,not started,,I-1117,19980414-0022
R1151,registered,,I-3292,19980609-0023
R1152,withdrawn,,I-2884,19980609-0023
R1153,registered,,I-2885,19980609-0023
R1154,not started,,I-253,19980609-0023
R1155,not started,,I-1309,19980609-0023
R1156,not started,,I-1317,19980609-0023
R1157,completed,5,I-2999,19980609-0023
R1158,withdrawn,,I-3000,19980609-0023
R1159,withdrawn,,I-3292,19980212-0024
R1160,completed,3,I-2884,19980212-0024
R1161,not started,,I-5285,19980212-0024
R1162,not started,,I-5284,19980212-0024
R1163,withdrawn,,I-2678,19980212-0024
R1164,registered,,I-153,19980212-0024
R1165,withdrawn,,I-2998,19980212-0024
R1166,not started,,I-4556,19980212-0024
R1167,withdrawn,,I-3097,19990805-0025
R1168,registered,,I-3099,19990805-0025
R1169,completed,3,I-4343,19990805-0025
R1170,registered,,I-3103,19990805-0025
R1171,completed,5,I-1112,19990805-0025
R1172,completed,4,I-3206,19990805-0025
R1173,completed,3,I-3207,19990805-0025
R1174,completed,3,I-3208,19990805-0025
R1175,registered,,I-1756,19990805-0025
R1176,not started,,I-906,19990805-0025
R1177,registered,,I-2078,19990805-0025
R1178,withdrawn,,I-3428,19990805-0025
R1179,completed,5,I-4124,19970609-0026
R1180,registered,,I-684,19970609-0026
R1181,not started,,I-2565,19970609-0026
R1182,completed,5,I-3808,19970609-0026
R1183,not started,,I-44,19970609-0026
R1184,withdrawn,,I-4238,19970609-0026
R1185,withdrawn,,I-5084,19970609-0026
R1186,completed,3,I-4877,19970609-0026
R1187,registered,,I-3087,19951123-0027
R1188,not started,,I-4966,19951123-0027
R1189,completed,5,I-2668,19951123-0027
R1190,not started,,I-3599,19951123-0027
R1191,completed,3,I-2460,19951123-0027
R1192,withdrawn,,I-2567,19951123-0027
R1193,completed,3,I-4970,19951123-0027
R1194,withdrawn,,I-4973,19951123-0027
R1195,withdrawn,,I-5080,19951123-0027
R1196,registered,,I-5081,19951123-0027
R1197,not started,,I-5082,19951123-0027
R1198,not started,,I-5083,19951123-0027
R1199,not started,,I-1956,19951123-0027
R1200,not started,,I-5200,19951123-0027
R1201,completed,3,I-2797,19951123-0027
R1202,withdrawn,,I-5202,19951123-0027
R1203,withdrawn,,I-4571,19960701-0028
R1204,not started,,I-4255,19960701-0028
R1205,not started,,I-3423,19960701-0028
R1206,not started,,I-1543,19960701-0028
R1207,withdrawn,,I-1459,19960701-0028
R1208,withdrawn,,I-2400,19960701-0028
R1209,withdrawn,,I-1657,19960701-0028
R1210,registered,,I-1659,19960701-0028
R1211,registered,,I-1658,19960701-0028
R1212,completed,5,I-1655,19960701-0028
R1213,not started,,I-4124,19960220-0029
R1214,registered,,I-684,19960220-0029
R1215,completed,4,I-4130,19960220-0029
R1216,withdrawn,,I-352,19960220-0029
R1217,not started,,I-254,19960220-0029
R1218,withdrawn,,I-4238,19960220-0029
R1219,not started,,I-2896,19960220-0029
R1220,registered,,I-2166,19960220-0029
R1221,completed,5,I-3131,19990211-0030
R1222,withdrawn,,I-614,19990211-0030
R1223,not started,,I-3133,19990211-0030
R1224,withdrawn,,I-2508,19990211-0030
R1225,not started,,I-3970,19990211-0030
R1226,completed,3,I-4389,19990211-0030
R1227,completed,5,I-3242,19990211-0030
R1228,withdrawn,,I-3243,19990211-0030
R1229,not started,,I-3354,19990211-0030
R1230,completed,3,I-3355,19990211-0030
R1231,not started,,I-3356,19990211-0030
R1232,not started,,I-1053,19990211-0030
R1233,completed,5,I-2699,19961018-0031
R1234,completed,5,I-2700,19961018-0031
R1235,completed,4,I-2069,19961018-0031
R1236,registered,,I-1449,19961018-0031
R1237,registered,,I-3020,19961018-0031
R1238,completed,3,I-1125,19961018-0031
R1239,withdrawn,,I-5423,19961018-0031
R1240,registered,,I-2175,19961018-0031
R1241,withdrawn,,I-280,19961018-0031
R1242,completed,3,I-1750,19961018-0031
R1243,withdrawn,,I-2190,19961018-0031
R1244,not started,,I-2814,19961018-0031
R1245,completed,4,I-5221,19961018-0031
R1246,completed,3,I-3842,19961018-0031
R1247,registered,,I-267,19960307-0032
R1248,withdrawn,,I-585,19960307-0032
R1249,completed,3,I-3611,19960307-0032
R1250,not started,,I-2481,19960307-0032
R1251,registered,,I-1635,19960307-0032
R1252,completed,3,I-2483,19960307-0032
R1253,not started,,I-3005,19960307-0032
R1254,completed,3,I-1322,19960307-0032
R1255,withdrawn,,I-2591,19960307-0032
R1256,completed,4,I-1851,19960307-0032
R1257,registered,,I-2804,19960307-0032
R1258,withdrawn,,I-3732,19960307-0032
R1259,withdrawn,,I-5017,19960822-0033
R1260,completed,4,I-4917,19960822-0033
R1261,withdrawn,,I-3132,19960822-0033
R1262,registered,,I-3038,19960822-0033
R1263,completed,3,I-4288,19960822-0033
R1264,not started,,I-1472,19960822-0033
R1265,withdrawn,,I-5130,19960822-0033
R1266,not started,,I-1886,19960822-0033
R1267,registered,,I-2828,19961012-0034
R1268,not started,,I-2931,19961012-0034
R1269,not started,,I-2934,19961012-0034
R1270,withdrawn,,I-1774,19961012-0034
R1271,not started,,I-3042,19961012-0034
R1272,withdrawn,,I-1881,19961012-0034
R1273,withdrawn,,I-3048,19961012-0034
R1274,not started,,I-3043,19961012-0034
R1275,withdrawn,,I-1931,19960610-0035
R1276,not started,,I-4866,19960610-0035
R1277,registered,,I-142,19960610-0035
R1278,completed,4,I-1934,19960610-0035
R1279,withdrawn,,I-4975,19960610-0035
R1280,completed,5,I-2049,19960610-0035
R1281,registered,,I-1424,19960610-0035
R1282,withdrawn,,I-2264,19960610-0035
R1283,withdrawn,,I-3921,19960610-0035
R1284,completed,3,I-2679,19960610-0035
R1285,completed,4,I-2683,19960610-0035
R1286,withdrawn,,I-2054,19960610-0035
R1287,registered,,I-2167,19960610-0035
R1288,registered,,I-2168,19960610-0035
R1289,registered,,I-2169,19960610-0035
R1290,withdrawn,,I-2687,19960610-0035
R1291,completed,3,I-4367,19990302-0036
R1292,not started,,I-3840,19990302-0036
R1293,not started,,I-75,19990302-0036
R1294,registered,,I-606,19990302-0036
R1295,not started,,I-4173,19990302-0036
R1296,not started,,I-4275,19990302-0036
R1297,registered,,I-4274,19990302-0036
R1298,withdrawn,,I-3234,19990302-0036
R1299,not started,,I-4669,19950801-0037
R1300,not started,,I-4670,19950801-0037
R1301,completed,4,I-4671,19950801-0037
R1302,withdrawn,,I-2279,19950801-0037
R1303,withdrawn,,I-4157,19950801-0037
R1304,withdrawn,,I-1645,19950801-0037
R1305,registered,,I-4790,19950801-0037
R1306,withdrawn,,I-4796,19950801-0037
R1307,completed,4,I-4896,19950801-0037
R1308,registered,,I-2089,19950801-0037
R1309,registered,,I-4900,19950801-0037
R1310,not started,,I-4901,19950801-0037
R1311,completed,5,I-3131,19960222-0038
R1312,withdrawn,,I-3134,19960222-0038
R1313,not started,,I-2727,19960222-0038
R1314,not started,,I-2508,19960222-0038
R1315,registered,,I-1157,19960222-0038
R1316,withdrawn,,I-3241,19960222-0038
R1317,completed,5,I-3242,19960222-0038
R1318,registered,,I-5346,19960222-0038
R1319,registered,,I-3150,19960222-0038
R1320,registered,,I-3355,19960222-0038
R1321,withdrawn,,I-5032,19960222-0038
R1322,completed,4,I-1482,19960222-0038
R1323,completed,4,I-5462,19960222-0038
R1324,not started,,I-2840,19960222-0038
R1325,registered,,I-4177,19960828-0039
R1326,not started,,I-1766,19960828-0039
R1327,completed,4,I-5442,19960828-0039
R1328,not started,,I-5020,19960828-0039
R1329,completed,5,I-5341,19960828-0039
R1330,not started,,I-3045,19960828-0039
R1331,completed,3,I-1885,19960828-0039
R1332,not started,,I-1882,19960828-0039
R1333,withdrawn,,I-709,19960118-0040
R1334,not started,,I-710,19960118-0040
R1335,registered,,I-1018,19960118-0040
R1336,registered,,I-2292,19960118-0040
R1337,completed,5,I-4380,19960118-0040
R1338,registered,,I-2512,19960118-0040
R1339,registered,,I-830,19960118-0040
R1340,registered,,I-5020,19960118-0040
R1341,not started,,I-828,19960118-0040
R1342,withdrawn,,I-835,19960118-0040
R1343,not started,,I-613,19960118-0040
R1344,completed,4,I-4174,19960118-0040
R1345,not started,,I-832,19960118-0040
R1346,withdrawn,,I-934,19960118-0040
R1347,not started,,I-1579,19960118-0040
R1348,registered,,I-5338,19960118-0040
R1349,completed,5,I-937,19960118-0040
R1350,not started,,I-2361,19980206-0041
R1351,not started,,I-4324,19980206-0041
R1352,registered,,I-2044,19980206-0041
R1353,registered,,I-1206,19980206-0041
R1354,withdrawn,,I-679,19980206-0041
R1355,withdrawn,,I-676,19980206-0041
R1356,not started,,I-777,19980206-0041
R1357,registered,,I-456,19980206-0041
R1358,withdrawn,,I-683,19980206-0041
R1359,registered,,I-5089,19980206-0041
R1360,withdrawn,,I-790,19980206-0041
R1361,registered,,I-791,19980206-0041
R1362,withdrawn,,I-789,19980206-0041
R1363,withdrawn,,I-898,19980206-0041
R1364,completed,5,I-899,19980206-0041
R1365,registered,,I-900,19980206-0041
R1366,not started,,I-2275,19980206-0041
R1367,completed,4,I-5301,19991130-0042
R1368,not started,,I-5303,19991130-0042
R1369,registered,,I-5302,19991130-0042
R1370,completed,3,I-5306,19991130-0042
R1371,registered,,I-5417,19991130-0042
R1372,withdrawn,,I-2914,19991130-0042
R1373,not started,,I-3620,19991130-0042
R1374,withdrawn,,I-2495,19991130-0042
R1375,not started,,I-3023,19981023-0043
R1376,not started,,I-2712,19981023-0043
R1377,registered,,I-2713,19981023-0043
R1378,completed,5,I-1458,19981023-0043
R1379,not started,,I-2822,19981023-0043
R1380,withdrawn,,I-4697,19981023-0043
R1381,completed,5,I-2610,19981023-0043
R1382,registered,,I-2829,19981023-0043
R1383,completed,5,I-4360,19950824-0044
R1384,completed,5,I-4890,19950824-0044
R1385,not started,,I-5424,19950824-0044
R1386,withdrawn,,I-1443,19950824-0044
R1387,not started,,I-2396,19950824-0044
