InstanceId,studyPeriod,academicYear,planningNumStudents,seniorHours,assistantHours,Contains,ExaminedBy
I-1502,1,2014-2015,50,240,300,1139,19630126-0001
I-1503,2,2014-2015,40,260,280,1104,19640414-0013
I-1504,2,2014-2015,60,280,240,1056,19570615-0011
I-1505,1,2015-2016,60,240,240,1278,19570828-0008
I-1506,3,2015-2016,60,260,200,1047,19640414-0013
I-1507,3,2015-2016,60,240,420,1292,19590129-0004
I-1508,2,2015-2016,60,280,280,1229,19610623-0005
I-1509,3,2015-2016,20,280,200,1165,19620424-0026
I-1510,4,2015-2016,20,260,200,1261,19570828-0008
I-1511,4,2015-2016,60,280,360,1230,19570615-0011
I-1512,3,2015-2016,40,240,200,1174,19610918-0027
I-1513,2,2015-2016,60,280,300,1146,19690408-0009
I-1514,2,2016-2017,20,260,200,1275,19580515-0017
I-1515,1,2016-2017,40,240,300,1065,19560612-0010
I-1516,4,2016-2017,60,260,200,1234,19600529-0021
I-1517,4,2016-2017,50,260,280,1079,19690513-0015
I-1518,2,2016-2017,40,280,420,1250,19560812-0016
I-1519,1,2016-2017,50,260,300,1105,19570615-0011
I-1520,3,2016-2017,50,240,240,1076,19600905-0003
I-1521,3,2016-2017,20,260,420,1036,19610623-0005
I-1522,4,2017-2018,50,260,280,1043,19690408-0009
I-1523,1,2017-2018,50,260,420,1006,19680712-0028
I-1524,4,2017-2018,60,240,240,1231,19600529-0021
I-1525,1,2017-2018,50,240,420,1106,19580218-0007
I-1526,1,2017-2018,40,260,200,1098,19610623-0005
I-1527,3,2017-2018,20,280,420,1090,19610623-0005
I-1528,2,2017-2018,50,240,300,1280,19580515-0017
I-1529,4,2017-2018,60,260,420,1178,19610620-0006
I-1530,1,2017-2018,20,260,300,1147,19580515-0017
I-1531,4,2017-2018,40,280,200,1116,19680712-0028
I-1532,1,2018-2019,40,280,200,1181,19560612-0010
I-1533,3,2018-2019,60,280,300,1213,19620424-0026
I-1534,3,2018-2019,20,280,280,1187,19610918-0027
I-1535,3,2018-2019,20,260,240,1078,19580218-0007
I-1536,2,2018-2019,60,280,420,1016,19580515-0017
I-1537,3,2018-2019,40,280,360,1279,19560705-0025
I-1538,4,2018-2019,40,280,420,1188,19560705-0025
I-1539,2,2018-2019,50,280,200,1165,19610918-0027
I-1540,3,2018-2019,50,240,300,1136,19560705-0025
I-1541,3,2018-2019,20,240,280,1133,19611219-0014
I-1542,4,2019-2020,50,280,420,1159,19630126-0001
I-1543,3,2019-2020,60,280,200,1298,19630126-0001
I-1544,4,2019-2020,20,240,200,1204,19690408-0009
I-1545,1,2019-2020,20,280,240,1020,19601021-0018
I-1546,4,2019-2020,40,260,360,1297,19611219-0014
I-1547,2,2019-2020,50,260,200,1255,19570615-0011
I-1548,4,2019-2020,20,260,200,1246,19620522-0023
I-1549,2,2019-2020,20,260,200,1236,19570828-0008
I-1550,2,2019-2020,20,240,360,1094,19570615-0011
I-1551,2,2020-2021,50,240,420,1264,19570615-0011
I-1552,1,2020-2021,20,280,300,1061,19570828-0008
I-1553,4,2020-2021,60,280,420,1173,19620424-0026
I-1554,1,2020-2021,60,260,420,1163,19620831-0024
I-1555,4,2020-2021,50,260,200,1258,19601021-0018
I-1556,2,2020-2021,20,260,360,1181,19690513-0015
I-1557,2,2020-2021,50,240,280,1081,19570615-0011
I-1558,3,2020-2021,50,240,200,1070,19620424-0026
I-1559,3,2020-2021,20,260,300,1050,19620424-0026
I-1560,4,2020-2021,40,260,360,1006,19640414-0013
I-1561,4,2021-2022,50,280,420,1277,19630126-0001
I-1562,1,2021-2022,20,280,360,1265,19600905-0003
I-1563,3,2021-2022,50,280,240,1189,19570826-0012
I-1564,4,2021-2022,20,260,240,1141,19620831-0024
I-1565,4,2021-2022,40,260,420,1299,19560705-0025
I-1566,4,2021-2022,40,260,240,1248,19620831-0024
I-1567,2,2021-2022,40,260,360,1185,19640414-0013
I-1568,3,2021-2022,40,260,240,1114,19611219-0014
I-1569,3,2021-2022,50,240,240,1106,19560705-0025
I-1570,1,2021-2022,40,280,280,1032,19620424-0026
I-1571,2,2022-2023,20,240,200,1199,19620424-0026
I-1572,3,2022-2023,60,260,280,1140,19630126-0001
I-1573,4,2022-2023,40,240,240,1223,19560705-0025
I-1574,1,2022-2023,60,260,300,1206,19680712-0028
I-1575,2,2022-2023,50,260,200,1191,19580515-0017
I-1576,1,2022-2023,20,280,280,1283,19690513-0015
I-1577,3,2022-2023,40,260,200,1145,19580515-0017
I-1578,1,2022-2023,60,260,280,1040,19561222-0030
I-1579,4,2022-2023,20,240,200,1041,19580515-0017
I-1580,3,2023-2024,20,280,240,1259,19680712-0028
I-1581,1,2023-2024,40,280,420,1216,19570615-0011
I-1582,4,2023-2024,60,280,200,1167,19580218-0007
I-1583,4,2023-2024,40,260,300,1203,19570826-0012
I-1584,4,2023-2024,60,240,280,1175,19611219-0014
I-1585,1,2023-2024,60,240,200,1121,19610918-0027
I-1586,2,2023-2024,40,260,360,1077,19620831-0024
I-1587,4,2013-2014,20,280,420,1054,19600814-0002
I-1588,2,2013-2014,50,260,420,1032,19600905-0003
I-1589,3,2013-2014,60,240,420,1299,19580218-0007
I-1590,2,2013-2014,20,240,420,1294,19570826-0012
I-1591,4,2013-2014,20,240,420,1157,19620522-0023
I-1592,3,2013-2014,60,260,240,1285,19610620-0006
I-1593,3,2013-2014,50,280,280,1229,19660630-0020
I-1594,4,2013-2014,40,240,240,1205,19560705-0025
I-1595,3,2013-2014,50,240,280,1175,19650303-0019
I-1596,2,2013-2014,20,240,240,1145,19680712-0028
I-1597,4,2014-2015,50,280,280,1095,19561222-0030
I-1598,2,2014-2015,40,240,240,1254,19611219-0014
I-1599,1,2014-2015,60,260,200,1242,19610918-0027
I-1600,1,2014-2015,20,240,240,1205,19600529-0021
I-1601,3,2014-2015,20,260,240,1074,19570826-0012
I-1602,2,2014-2015,40,280,240,1247,19660630-0020
I-1603,4,2014-2015,50,260,200,1173,19610918-0027
I-1604,4,2014-2015,20,240,300,1164,19620522-0023
I-1605,3,2014-2015,20,240,240,1142,19640414-0013
I-1606,4,2014-2015,40,280,420,1015,19640220-0029
I-1607,4,2015-2016,60,260,420,1295,19640220-0029
I-1608,4,2015-2016,20,280,280,1243,19610623-0005
I-1609,3,2015-2016,20,240,300,1061,19560705-0025
I-1610,3,2015-2016,50,240,240,1015,19570826-0012
I-1611,3,2015-2016,20,280,240,1296,19560705-0025
I-1612,2,2015-2016,50,260,360,1284,19561222-0030
I-1613,1,2015-2016,40,280,300,1113,19580515-0017
I-1614,3,2015-2016,60,260,360,1084,19611219-0014
I-1615,1,2016-2017,40,260,360,1292,19600814-0002
I-1616,1,2016-2017,50,240,200,1108,19580218-0007
I-1617,1,2016-2017,60,240,300,1280,19690408-0009
I-1618,2,2016-2017,20,280,280,1146,19680712-0028
I-1619,1,2016-2017,20,280,360,1104,19560705-0025
I-1620,4,2016-2017,50,240,200,1191,19611219-0014
I-1621,1,2016-2017,20,260,420,1190,19560705-0025
I-1622,4,2016-2017,60,280,200,1153,19601021-0018
I-1623,3,2016-2017,40,260,240,1144,19610918-0027
I-1624,2,2016-2017,20,240,200,1064,19590129-0004
I-1625,4,2017-2018,40,260,300,1199,19620522-0023
I-1626,2,2017-2018,40,280,200,1277,19620522-0023
I-1627,3,2017-2018,20,240,300,1152,19570615-0011
I-1628,3,2017-2018,50,280,200,1290,19620522-0023
I-1629,3,2017-2018,20,260,300,1209,19590129-0004
I-1630,4,2017-2018,40,260,280,1108,19560612-0010
I-1631,4,2017-2018,50,280,300,1059,19610918-0027
I-1632,2,2018-2019,20,280,420,1276,19560812-0016
I-1633,1,2018-2019,50,280,420,1205,19590129-0004
I-1634,2,2018-2019,40,240,200,1238,19600814-0002
I-1635,1,2018-2019,40,240,280,1159,19610620-0006
I-1636,3,2018-2019,60,260,300,1097,19610918-0027
I-1637,2,2018-2019,20,240,200,1269,19570615-0011
I-1638,4,2018-2019,20,280,240,1244,19640414-0013
I-1639,3,2018-2019,40,280,200,1221,19610623-0005
I-1640,2,2018-2019,60,260,200,1149,19570828-0008
I-1641,4,2018-2019,50,280,240,1031,19610620-0006
I-1642,1,2019-2020,20,280,420,1150,19640414-0013
I-1643,3,2019-2020,50,260,420,1054,19650303-0019
I-1644,1,2019-2020,50,280,200,1043,19620831-0024
I-1645,4,2019-2020,40,280,280,1024,19660630-0020
I-1646,2,2019-2020,40,240,360,1269,19690917-0022
I-1647,1,2019-2020,40,280,300,1217,19610620-0006
I-1648,3,2019-2020,20,280,280,1197,19690513-0015
I-1649,2,2019-2020,50,260,240,1126,19690408-0009
I-1650,2,2019-2020,50,260,420,1086,19570615-0011
I-1651,2,2020-2021,20,280,360,1116,19570615-0011
I-1652,2,2020-2021,40,240,300,1255,19680712-0028
I-1653,4,2020-2021,20,240,240,1239,19590129-0004
I-1654,2,2020-2021,40,260,200,1080,19620831-0024
I-1655,1,2020-2021,50,280,360,1051,19570826-0012
I-1656,2,2020-2021,40,260,200,1238,19580218-0007
I-1657,4,2020-2021,50,280,280,1188,19600529-0021
I-1658,1,2020-2021,20,240,360,1179,19690513-0015
I-1659,4,2020-2021,20,260,360,1079,19610918-0027
I-1660,3,2021-2022,50,240,420,1156,19620424-0026
I-1661,4,2021-2022,40,260,420,1103,19570826-0012
I-1662,1,2021-2022,40,240,280,1257,19620424-0026
I-1663,2,2021-2022,60,240,360,1203,19580218-0007
I-1664,4,2021-2022,50,260,300,1044,19690917-0022
I-1665,3,2021-2022,50,280,300,1285,19660630-0020
I-1666,4,2021-2022,50,260,240,1276,19561222-0030
I-1667,4,2021-2022,50,280,240,1187,19640220-0029
I-1668,3,2021-2022,40,240,420,1163,19690408-0009
I-1669,4,2022-2023,60,240,300,1156,19610620-0006
I-1670,3,2022-2023,60,280,420,1136,19660630-0020
I-1671,3,2022-2023,20,280,360,1244,19690917-0022
I-1672,3,2022-2023,20,260,300,1172,19690408-0009
I-1673,2,2022-2023,40,260,360,1165,19561222-0030
I-1674,1,2022-2023,40,260,240,1067,19620424-0026
I-1675,3,2022-2023,50,260,420,1249,19640414-0013
I-1676,2,2022-2023,40,260,240,1190,19680712-0028
I-1677,1,2022-2023,20,240,300,1075,19601021-0018
I-1678,4,2022-2023,20,280,300,1063,19650303-0019
I-1679,4,2022-2023,20,240,240,1050,19680712-0028
I-1680,4,2022-2023,20,260,420,1007,19680712-0028
I-1681,4,2023-2024,20,280,200,1193,19630126-0001
I-1682,3,2023-2024,20,280,240,1170,19640220-0029
I-1683,4,2023-2024,20,260,200,1232,19600529-0021
I-1684,1,2023-2024,40,240,240,1145,19610918-0027
I-1685,3,2023-2024,40,240,300,1074,19680712-0028
I-1686,2,2023-2024,60,280,360,1016,19620831-0024
I-1687,1,2023-2024,50,260,200,1244,19650303-0019
I-1688,4,2023-2024,50,240,200,1105,19560812-0016
I-1689,4,2023-2024,60,260,280,1094,19690917-0022
I-1690,4,2023-2024,60,280,420,1087,19680712-0028
I-1691,2,2023-2024,60,280,200,1004,19690408-0009
I-1692,3,2013-2014,40,280,200,1117,19660630-0020
I-1693,3,2013-2014,60,280,240,1163,19610623-0005
I-1694,1,2013-2014,50,280,240,1128,19560612-0010
I-1695,2,2013-2014,20,260,300,1251,19690513-0015
I-1696,4,2013-2014,50,260,280,1242,19561222-0030
I-1697,2,2013-2014,50,240,240,1182,19610623-0005
I-1698,4,2013-2014,60,240,360,1029,19610918-0027
I-1699,1,2013-2014,20,260,200,1017,19580515-0017
I-1700,4,2014-2015,50,260,200,1226,19600814-0002
I-1701,4,2014-2015,60,240,280,1219,19600814-0002
I-1702,2,2014-2015,60,240,200,1295,19560705-0025
I-1703,1,2014-2015,40,280,200,1052,19610623-0005
I-1704,1,2014-2015,50,280,420,1007,19640220-0029
I-1705,3,2014-2015,60,240,360,1256,19570615-0011
I-1706,1,2014-2015,20,240,200,1167,19561222-0030
I-1707,2,2014-2015,40,280,200,1065,19630126-0001
I-1708,2,2014-2015,60,260,280,1049,19630126-0001
I-1709,4,2015-2016,50,240,280,1268,19650303-0019
I-1710,2,2015-2016,50,280,420,1259,19600529-0021
I-1711,3,2015-2016,20,280,280,1053,19611219-0014
I-1712,3,2015-2016,50,280,360,1035,19660630-0020
I-1713,2,2015-2016,40,240,360,1284,19690917-0022
I-1714,3,2015-2016,60,240,300,1271,19580218-0007
I-1715,1,2015-2016,20,240,300,1206,19570828-0008
I-1716,4,2015-2016,20,280,300,1170,19570615-0011
I-1717,1,2016-2017,40,240,280,1121,19601021-0018
I-1718,2,2016-2017,50,240,200,1250,19560612-0010
I-1719,1,2016-2017,40,280,280,1236,19630126-0001
I-1720,2,2016-2017,50,260,420,1219,19580515-0017
I-1721,3,2016-2017,50,280,200,1200,19580515-0017
I-1722,2,2016-2017,60,260,360,1153,19600529-0021
I-1723,3,2016-2017,60,280,280,1135,19610918-0027
I-1724,4,2016-2017,20,260,200,1126,19600905-0003
I-1725,2,2016-2017,20,240,200,1058,19660630-0020
I-1726,4,2017-2018,20,280,200,1272,19680712-0028
I-1727,3,2017-2018,50,260,240,1010,19580515-0017
I-1728,4,2017-2018,60,260,280,1264,19610620-0006
I-1729,4,2017-2018,40,280,240,1118,19610918-0027
I-1730,4,2017-2018,40,280,200,1106,19570826-0012
I-1731,3,2017-2018,40,280,420,1072,19570615-0011
I-1732,1,2017-2018,40,260,420,1267,19600905-0003
I-1733,2,2017-2018,50,260,300,1139,19660630-0020
I-1734,3,2017-2018,60,240,360,1138,19570615-0011
I-1735,3,2017-2018,40,260,280,1029,19601021-0018
I-1736,4,2018-2019,20,280,200,1150,19620522-0023
I-1737,1,2018-2019,40,240,280,1292,19580218-0007
I-1738,2,2018-2019,20,260,200,1191,19600905-0003
I-1739,1,2018-2019,60,260,360,1051,19630126-0001
I-1740,3,2018-2019,50,280,280,1264,19650303-0019
I-1741,1,2018-2019,60,240,420,1237,19610620-0006
I-1742,2,2018-2019,60,240,240,1164,19640220-0029
I-1743,1,2018-2019,60,260,360,1112,19660630-0020
I-1744,1,2018-2019,60,240,420,1105,19570828-0008
I-1745,3,2018-2019,60,260,300,1022,19690408-0009
I-1746,2,2019-2020,60,280,280,1296,19610918-0027
I-1747,2,2019-2020,50,280,280,1194,19610623-0005
I-1748,4,2019-2020,20,240,280,1247,19600814-0002
I-1749,3,2019-2020,50,260,240,1248,19560705-0025
I-1750,3,2019-2020,20,260,300,1122,19610918-0027
I-1751,4,2019-2020,50,260,240,1105,19620424-0026
I-1752,4,2019-2020,20,260,240,1293,19611219-0014
I-1753,1,2019-2020,20,240,200,1272,19610623-0005
I-1754,2,2019-2020,60,280,420,1259,19620424-0026
I-1755,4,2019-2020,60,260,420,1116,19600814-0002
I-1756,3,2019-2020,60,240,240,1061,19610918-0027
I-1757,3,2019-2020,60,260,420,1008,19600529-0021
I-1758,2,2020-2021,50,240,300,1119,19561222-0030
I-1759,4,2020-2021,60,280,420,1110,19610623-0005
I-1760,1,2020-2021,60,280,420,1011,19570826-0012
I-1761,3,2020-2021,60,260,360,1229,19560612-0010
I-1762,3,2020-2021,40,240,420,1198,19680712-0028
I-1763,1,2020-2021,40,240,360,1163,19660630-0020
I-1764,2,2020-2021,60,240,200,1073,19690513-0015
I-1765,2,2021-2022,20,260,420,1299,19611219-0014
I-1766,2,2021-2022,20,260,280,1292,19570615-0011
I-1767,4,2021-2022,50,260,420,1209,19600905-0003
I-1768,4,2021-2022,40,280,420,1168,19690917-0022
I-1769,1,2021-2022,20,240,280,1107,19630126-0001
I-1770,1,2021-2022,60,260,200,1080,19601021-0018
I-1771,2,2021-2022,20,280,240,1293,19570828-0008
I-1772,4,2021-2022,20,280,280,1284,19640414-0013
I-1773,1,2021-2022,20,240,240,1204,19610623-0005
I-1774,1,2021-2022,20,260,420,1104,19620831-0024
I-1775,4,2021-2022,20,260,280,1025,19610620-0006
I-1776,3,2021-2022,60,260,240,1024,19620424-0026
I-1777,4,2022-2023,20,280,300,1139,19601021-0018
I-1778,1,2022-2023,50,280,280,1212,19560612-0010
I-1779,1,2022-2023,50,280,200,1190,19600529-0021
I-1780,1,2022-2023,60,240,240,1163,19600814-0002
I-1781,3,2022-2023,60,260,420,1130,19590129-0004
I-1782,4,2022-2023,50,260,360,1259,19620424-0026
I-1783,1,2022-2023,50,260,300,1176,19680712-0028
I-1784,1,2022-2023,50,280,360,1149,19580515-0017
I-1785,4,2022-2023,40,280,300,1041,19610620-0006
I-1786,1,2023-2024,20,240,240,1265,19630126-0001
I-1787,4,2023-2024,20,280,280,1256,19601021-0018
I-1788,2,2023-2024,40,260,240,1110,19640414-0013
I-1789,1,2023-2024,50,280,200,1003,19620424-0026
I-1790,3,2023-2024,40,240,300,1184,19560705-0025
I-1791,3,2023-2024,60,280,200,1163,19610623-0005
I-1792,2,2023-2024,60,260,240,1053,19560612-0010
I-1793,4,2023-2024,60,280,200,1020,19610620-0006
I-1794,4,2013-2014,40,280,360,1037,19560612-0010
I-1795,1,2013-2014,60,240,200,1288,19580515-0017
I-1796,3,2013-2014,40,240,240,1204,19590129-0004
I-1797,4,2013-2014,60,240,420,1149,19690408-0009
I-1798,1,2013-2014,50,280,300,1259,19610918-0027
I-1799,2,2013-2014,20,280,240,1251,19640414-0013
I-1800,1,2013-2014,20,280,200,1111,19690513-0015
I-1801,3,2013-2014,40,240,240,1080,19630126-0001
I-1802,1,2013-2014,40,280,240,1071,19690917-0022
I-1803,1,2014-2015,40,280,240,1015,19611219-0014
I-1804,3,2014-2015,20,260,240,1283,19600529-0021
I-1805,4,2014-2015,40,240,280,1142,19620522-0023
I-1806,1,2014-2015,60,260,200,1132,19620522-0023
I-1807,4,2014-2015,20,240,240,1245,19570615-0011
I-1808,4,2014-2015,50,240,200,1216,19611219-0014
I-1809,1,2014-2015,60,240,240,1173,19690513-0015
I-1810,3,2014-2015,20,240,280,1014,19690513-0015
I-1811,4,2015-2016,20,280,280,1216,19580515-0017
I-1812,1,2015-2016,40,240,200,1092,19640220-0029
I-1813,4,2015-2016,40,240,280,1264,19561222-0030
I-1814,2,2015-2016,50,280,280,1196,19660630-0020
I-1815,1,2015-2016,60,260,280,1028,19560812-0016
I-1816,1,2015-2016,40,280,420,1171,19620424-0026
I-1817,4,2015-2016,50,240,240,1145,19570826-0012
I-1818,3,2015-2016,50,280,300,1087,19560612-0010
I-1819,4,2015-2016,40,260,200,1086,19560705-0025
I-1820,4,2016-2017,40,260,200,1058,19690513-0015
I-1821,3,2016-2017,60,280,200,1220,19660630-0020
I-1822,2,2016-2017,20,240,200,1213,19580218-0007
I-1823,1,2016-2017,50,240,420,1118,19580218-0007
I-1824,4,2016-2017,50,280,280,1098,19680712-0028
I-1825,2,2016-2017,50,240,420,1241,19640220-0029
I-1826,2,2016-2017,60,260,300,1236,19680712-0028
I-1827,4,2016-2017,50,240,360,1215,19600905-0003
I-1828,1,2016-2017,50,260,420,1161,19580515-0017
I-1829,1,2016-2017,20,240,280,1010,19680712-0028
I-1830,3,2017-2018,20,260,300,1030,19620522-0023
I-1831,3,2017-2018,20,280,200,1292,19690513-0015
I-1832,4,2017-2018,60,280,420,1222,19640220-0029
I-1833,1,2017-2018,40,260,300,1213,19600529-0021
I-1834,1,2017-2018,20,260,360,1199,19620424-0026
I-1835,3,2017-2018,60,260,300,1261,19640414-0013
I-1836,1,2017-2018,40,260,240,1255,19620522-0023
I-1837,1,2017-2018,50,280,420,1253,19600529-0021
I-1838,2,2017-2018,40,260,200,1185,19650303-0019
I-1839,1,2017-2018,60,240,280,1105,19650303-0019
I-1840,2,2017-2018,40,260,240,1091,19690513-0015
I-1841,2,2018-2019,40,240,360,1228,19560812-0016
I-1842,4,2018-2019,50,280,280,1094,19560812-0016
I-1843,4,2018-2019,40,260,360,1257,19580515-0017
I-1844,1,2018-2019,20,240,240,1176,19690513-0015
I-1845,4,2018-2019,40,280,300,1135,19610620-0006
I-1846,1,2018-2019,40,240,300,1020,19620522-0023
I-1847,4,2018-2019,60,260,300,1199,19610623-0005
I-1848,1,2018-2019,20,260,280,1171,19580515-0017
I-1849,1,2018-2019,40,240,200,1121,19610623-0005
I-1850,2,2018-2019,40,260,280,1023,19570615-0011
I-1851,4,2019-2020,60,240,240,1031,19620522-0023
I-1852,1,2019-2020,20,280,420,1233,19650303-0019
I-1853,2,2019-2020,20,260,420,1189,19630126-0001
I-1854,4,2019-2020,60,240,300,1152,19680712-0028
I-1855,3,2019-2020,60,260,240,1296,19600905-0003
I-1856,1,2019-2020,40,280,200,1271,19561222-0030
I-1857,2,2019-2020,60,280,200,1166,19690513-0015
I-1858,2,2019-2020,40,280,420,1007,19570828-0008
I-1859,3,2020-2021,40,280,280,1217,19690513-0015
I-1860,1,2020-2021,40,280,300,1101,19610620-0006
I-1861,4,2020-2021,40,280,360,1136,19640220-0029
I-1862,4,2020-2021,40,240,200,1132,19640414-0013
I-1863,4,2020-2021,20,280,420,1262,19640220-0029
I-1864,1,2020-2021,20,260,420,1257,19580515-0017
I-1865,3,2020-2021,40,280,240,1255,19600905-0003
I-1866,1,2020-2021,60,280,300,1198,19610623-0005
I-1867,2,2020-2021,40,260,420,1069,19560612-0010
I-1868,4,2020-2021,40,280,300,1026,19610918-0027
I-1869,1,2021-2022,60,240,200,1234,19560705-0025
I-1870,3,2021-2022,50,280,360,1038,19640414-0013
I-1871,4,2021-2022,40,260,420,1251,19560812-0016
I-1872,4,2021-2022,60,260,240,1203,19600814-0002
I-1873,2,2021-2022,20,240,300,1172,19570826-0012
I-1874,3,2021-2022,60,280,420,1039,19560705-0025
I-1875,4,2021-2022,60,240,280,1270,19620424-0026
I-1876,1,2021-2022,40,240,240,1140,19640414-0013
I-1877,3,2021-2022,40,280,420,1126,19620831-0024
I-1878,2,2021-2022,60,260,200,1093,19601021-0018
I-1879,4,2021-2022,60,240,240,1084,19570828-0008
I-1880,3,2022-2023,50,260,240,1256,19680712-0028
I-1881,3,2022-2023,20,240,280,1112,19620424-0026
I-1882,1,2022-2023,60,280,420,1286,19560812-0016
I-1883,3,2022-2023,20,260,200,1069,19600905-0003
I-1884,4,2022-2023,20,240,300,1052,19570828-0008
I-1885,1,2022-2023,60,260,420,1003,19570828-0008
I-1886,3,2022-2023,40,260,240,1275,19610620-0006
I-1887,1,2022-2023,40,240,200,1110,19630126-0001
I-1888,4,2022-2023,40,260,280,1109,19680712-0028
I-1889,3,2022-2023,20,240,200,1066,19690917-0022
I-1890,4,2022-2023,50,240,360,1067,19561222-0030
I-1891,3,2022-2023,20,260,360,1030,19620522-0023
I-1892,3,2023-2024,50,280,300,1077,19590129-0004
I-1893,3,2023-2024,50,260,300,1011,19560612-0010
I-1894,3,2023-2024,60,240,280,1218,19690917-0022
I-1895,2,2023-2024,40,240,360,1187,19630126-0001
I-1896,4,2023-2024,20,260,280,1162,19570615-0011
I-1897,3,2023-2024,20,280,360,1021,19620424-0026
I-1898,2,2023-2024,20,260,280,1276,19690917-0022
I-1899,4,2023-2024,60,280,240,1263,19600529-0021
I-1900,4,2023-2024,60,240,360,1222,19620831-0024
I-1901,2,2023-2024,40,280,420,1173,19650303-0019
I-1902,4,2023-2024,50,260,280,1144,19690408-0009
I-1903,4,2023-2024,60,260,420,1092,19610620-0006
I-1904,2,2013-2014,40,280,200,1211,19680712-0028
I-1905,1,2013-2014,50,240,420,1156,19690513-0015
I-1906,3,2013-2014,50,240,300,1251,19560612-0010
I-1907,4,2013-2014,40,240,280,1246,19610623-0005
I-1908,4,2013-2014,50,280,420,1146,19620424-0026
I-1909,2,2013-2014,40,260,420,1117,19640414-0013
I-1910,2,2013-2014,50,280,200,1290,19600529-0021
I-1911,1,2013-2014,50,280,300,1257,19561222-0030
I-1912,4,2013-2014,60,280,280,1170,19660630-0020
I-1913,3,2013-2014,40,260,240,1141,19610623-0005
I-1914,3,2014-2015,40,260,280,1026,19610623-0005
I-1915,4,2014-2015,50,280,360,1138,19600905-0003
I-1916,2,2014-2015,20,280,360,1057,19570615-0011
I-1917,3,2014-2015,40,240,280,1233,19610623-0005
I-1918,3,2014-2015,60,280,420,1188,19600905-0003
I-1919,4,2014-2015,40,260,300,1117,19690917-0022
I-1920,1,2014-2015,50,240,360,1113,19570615-0011
I-1921,4,2014-2015,20,240,240,1030,19690513-0015
I-1922,3,2015-2016,60,240,280,1195,19570826-0012
I-1923,2,2015-2016,20,260,280,1010,19570826-0012
I-1924,1,2015-2016,50,280,280,1297,19570826-0012
I-1925,4,2015-2016,60,240,300,1156,19601021-0018
I-1926,3,2015-2016,40,260,360,1287,19560705-0025
I-1927,2,2015-2016,60,260,240,1196,19650303-0019
I-1928,1,2015-2016,50,260,360,1183,19620424-0026
I-1929,2,2015-2016,50,280,240,1142,19650303-0019
I-1930,3,2015-2016,50,280,420,1058,19630126-0001
I-1931,2,2016-2017,50,240,300,1271,19600529-0021
I-1932,2,2016-2017,40,260,200,1104,19570828-0008
I-1933,2,2016-2017,40,240,200,1258,19560612-0010
I-1934,2,2016-2017,50,240,280,1181,19660630-0020
I-1935,3,2016-2017,60,240,300,1142,19630126-0001
I-1936,1,2016-2017,20,240,360,1094,19601021-0018
I-1937,3,2016-2017,50,240,420,1270,19560612-0010
I-1938,4,2016-2017,60,240,360,1266,19600905-0003
I-1939,3,2016-2017,60,260,420,1226,19600529-0021
I-1940,3,2016-2017,40,280,420,1077,19690408-0009
I-1941,2,2016-2017,60,260,360,1015,19660630-0020
I-1942,2,2017-2018,20,280,420,1233,19580515-0017
I-1943,4,2017-2018,60,260,300,1172,19600529-0021
I-1944,3,2017-2018,40,240,300,1286,19600529-0021
I-1945,2,2017-2018,20,280,360,1238,19570615-0011
I-1946,3,2017-2018,20,280,280,1299,19560612-0010
I-1947,3,2017-2018,60,260,360,1186,19640220-0029
I-1948,4,2017-2018,50,240,280,1176,19580515-0017
I-1949,4,2017-2018,60,240,420,1169,19601021-0018
I-1950,3,2017-2018,50,260,240,1098,19601021-0018
I-1951,4,2017-2018,40,260,280,1026,19630126-0001
I-1952,3,2018-2019,50,280,240,1107,19650303-0019
I-1953,1,2018-2019,40,260,280,1045,19640220-0029
I-1954,4,2018-2019,50,280,300,1205,19560812-0016
I-1955,1,2018-2019,60,260,420,1109,19680712-0028
I-1956,1,2018-2019,20,280,240,1104,19620424-0026
I-1957,1,2018-2019,20,240,280,1266,19660630-0020
I-1958,2,2018-2019,50,280,200,1130,19630126-0001
I-1959,3,2018-2019,50,280,420,1115,19620831-0024
I-1960,1,2018-2019,20,280,240,1094,19620831-0024
I-1961,4,2018-2019,60,280,240,1008,19620831-0024
I-1962,2,2019-2020,20,260,200,1123,19620522-0023
I-1963,1,2019-2020,50,280,240,1015,19561222-0030
I-1964,2,2019-2020,60,260,360,1291,19640414-0013
I-1965,2,2019-2020,50,260,300,1148,19650303-0019
I-1966,1,2019-2020,40,240,420,1082,19620424-0026
I-1967,1,2019-2020,40,280,280,1251,19600905-0003
I-1968,4,2019-2020,60,260,360,1250,19570828-0008
I-1969,1,2019-2020,50,240,280,1228,19570615-0011
I-1970,4,2019-2020,60,260,200,1018,19560705-0025
I-1971,3,2020-2021,60,260,360,1258,19630126-0001
I-1972,1,2020-2021,20,280,300,1289,19620424-0026
I-1973,4,2020-2021,20,260,420,1265,19601021-0018
I-1974,3,2020-2021,20,260,360,1116,19600814-0002
I-1975,4,2020-2021,20,260,240,1282,19600814-0002
I-1976,1,2020-2021,50,280,240,1234,19690917-0022
I-1977,3,2020-2021,60,260,300,1209,19570615-0011
I-1978,1,2020-2021,20,240,420,1114,19570615-0011
I-1979,1,2020-2021,60,280,200,1098,19570615-0011
I-1980,3,2020-2021,50,240,200,1030,19590129-0004
I-1981,2,2021-2022,40,240,280,1147,19640414-0013
I-1982,4,2021-2022,20,240,240,1212,19570828-0008
