HourId,assignedHours,ReportedHours,assignedBy,reportedBy
WH3965,140,151,I-1589,19771013-0040
WH3966,240,222,I-1590,19690408-0009
WH3967,100,111,I-1590,19750906-0032
WH3968,260,265,I-1591,19570826-0012
WH3969,120,109,I-1591,19750906-0032
WH3970,120,127,I-1591,19920828-0070
WH3971,240,253,I-1592,19630126-0001
WH3972,100,104,I-1592,19750102-0059
WH3973,240,230,I-1593,19630126-0001
WH3974,100,112,I-1593,19751018-0039
WH3975,140,144,I-1593,19920602-0073
WH3976,240,234,I-1594,19570828-0008
WH3977,100,87,I-1594,19761020-0044
WH3978,260,262,I-1595,19680712-0028
WH3979,120,118,I-1595,19790717-0045
WH3980,140,146,I-1595,19921123-0108
WH3981,280,286,I-1596,19650303-0019
WH3982,140,147,I-1596,19751018-0039
WH3983,240,238,I-1597,19620424-0026
WH3984,100,115,I-1597,19750512-0043
WH3985,140,150,I-1597,19901108-0087
WH3986,280,277,I-1598,19690917-0022
WH3987,140,122,I-1598,19750331-0036
WH3988,240,245,I-1599,19610623-0005
WH3989,100,83,I-1599,19750705-0033
WH3990,140,154,I-1599,19911025-0091
WH3991,260,279,I-1600,19580515-0017
WH3992,140,154,I-1600,19780815-0047
WH3993,140,121,I-1600,19911025-0091
WH3994,280,264,I-1601,19560612-0010
WH3995,120,114,I-1601,19780424-0057
WH3996,120,100,I-1601,19930221-0139
WH3997,280,286,I-1602,19630126-0001
WH3998,140,122,I-1602,19781217-0053
WH3999,280,268,I-1603,19600905-0003
WH4000,140,128,I-1603,19781217-0053
WH4001,100,93,I-1603,19920602-0073
WH4002,240,248,I-1604,19660630-0020
WH4003,100,82,I-1604,19790717-0045
WH4004,100,98,I-1604,19931231-0099
WH4005,280,271,I-1605,19560812-0016
WH4006,100,95,I-1605,19780815-0047
WH4007,140,133,I-1605,19920504-0093
WH4008,240,229,I-1606,19611219-0014
WH4009,120,113,I-1606,19790702-0038
WH4010,260,276,I-1607,19601021-0018
WH4011,140,158,I-1607,19781217-0053
WH4012,280,267,I-1608,19600529-0021
WH4013,100,84,I-1608,19780317-0052
WH4014,260,252,I-1609,19561222-0030
WH4015,140,160,I-1609,19751018-0039
WH4016,120,106,I-1609,19921123-0108
WH4017,280,277,I-1610,19601021-0018
WH4018,120,109,I-1610,19790702-0038
WH4019,260,246,I-1611,19570615-0011
WH4020,120,120,I-1611,19750906-0032
WH4021,140,149,I-1611,19930326-0132
WH4022,280,270,I-1612,19690917-0022
WH4023,100,100,I-1612,19760108-0050
WH4024,140,146,I-1612,19920828-0070
WH4025,280,299,I-1613,19570615-0011
WH4026,100,89,I-1613,19771013-0040
WH4027,100,109,I-1613,19901026-0111
WH4028,260,268,I-1614,19690408-0009
WH4029,140,151,I-1614,19790426-0049
WH4030,240,226,I-1615,19600814-0002
WH4031,120,129,I-1615,19750705-0033
WH4032,100,100,I-1615,19930508-0061
WH4033,240,259,I-1616,19570826-0012
WH4034,120,106,I-1616,19750512-0043
WH4035,260,261,I-1617,19690917-0022
WH4036,120,131,I-1617,19760524-0046
WH4037,140,140,I-1617,19900701-0113
WH4038,280,286,I-1618,19570826-0012
WH4039,100,84,I-1618,19780602-0035
WH4040,140,128,I-1618,19900128-0095
WH4041,240,257,I-1619,19561222-0030
WH4042,120,107,I-1619,19780317-0052
WH4043,280,262,I-1620,19570828-0008
WH4044,100,83,I-1620,19761009-0055
WH4045,140,149,I-1620,19910820-0078
WH4046,280,281,I-1621,19610620-0006
WH4047,100,81,I-1621,19780815-0047
WH4048,260,248,I-1622,19690408-0009
WH4049,120,128,I-1622,19751018-0039
WH4050,280,285,I-1623,19660630-0020
WH4051,120,104,I-1623,19770713-0042
WH4052,280,294,I-1624,19570828-0008
WH4053,120,107,I-1624,19771013-0040
WH4054,240,225,I-1625,19590129-0004
WH4055,140,148,I-1625,19780602-0035
WH4056,260,248,I-1626,19640220-0029
WH4057,120,139,I-1626,19780317-0052
WH4058,120,133,I-1626,19921218-0101
WH4059,280,295,I-1627,19611219-0014
WH4060,140,139,I-1627,19760524-0046
WH4061,100,103,I-1627,19900801-0130
WH4062,280,284,I-1628,19560612-0010
WH4063,100,93,I-1628,19790618-0048
WH4064,140,151,I-1628,19930829-0082
WH4065,240,242,I-1629,19570828-0008
WH4066,140,147,I-1629,19781217-0053
WH4067,140,143,I-1629,19900902-0090
WH4068,240,259,I-1630,19600814-0002
WH4069,100,94,I-1630,19750705-0033
WH4070,240,241,I-1631,19580515-0017
WH4071,140,157,I-1631,19750722-0060
WH4072,100,93,I-1631,19900119-0104
WH4073,240,228,I-1632,19690917-0022
WH4074,120,120,I-1632,19781217-0053
WH4075,100,94,I-1632,19910403-0103
WH4076,280,264,I-1633,19580515-0017
WH4077,100,108,I-1633,19781217-0053
WH4078,100,85,I-1633,19910206-0081
WH4079,240,251,I-1634,19610623-0005
WH4080,120,103,I-1634,19781125-0031
WH4081,240,226,I-1635,19600814-0002
WH4082,100,116,I-1635,19750331-0036
WH4083,100,83,I-1635,19901108-0087
WH4084,240,245,I-1636,19590129-0004
WH4085,140,151,I-1636,19761024-0034
WH4086,280,273,I-1637,19590129-0004
WH4087,120,128,I-1637,19780602-0035
WH4088,260,253,I-1638,19580218-0007
WH4089,120,133,I-1638,19780317-0052
WH4090,140,143,I-1638,19921002-0129
WH4091,240,246,I-1639,19560705-0025
WH4092,100,104,I-1639,19790702-0038
WH4093,140,133,I-1639,19900211-0140
WH4094,240,242,I-1640,19630126-0001
WH4095,100,82,I-1640,19750906-0032
WH4096,120,129,I-1640,19920226-0075
WH4097,280,281,I-1641,19580515-0017
WH4098,100,103,I-1641,19780815-0047
WH4099,100,114,I-1641,19910820-0078
WH4100,280,263,I-1642,19560812-0016
WH4101,100,116,I-1642,19750417-0051
WH4102,140,159,I-1642,19921201-0094
WH4103,240,232,I-1643,19570828-0008
WH4104,140,142,I-1643,19760524-0046
WH4105,100,81,I-1643,19910817-0092
WH4106,260,246,I-1644,19620831-0024
WH4107,140,145,I-1644,19770713-0042
WH4108,120,105,I-1644,19900124-0064
WH4109,280,284,I-1645,19580515-0017
WH4110,100,107,I-1645,19790708-0041
WH4111,240,246,I-1646,19561222-0030
WH4112,120,130,I-1646,19780424-0057
WH4113,260,280,I-1647,19580218-0007
WH4114,140,137,I-1647,19751018-0039
WH4115,120,138,I-1647,19910403-0103
WH4116,260,252,I-1648,19630126-0001
WH4117,100,104,I-1648,19780815-0047
WH4118,240,255,I-1649,19660630-0020
WH4119,140,122,I-1649,19761009-0055
WH4120,120,122,I-1649,19900616-0124
WH4121,260,266,I-1650,19620522-0023
WH4122,140,124,I-1650,19751018-0039
WH4123,240,240,I-1651,19560705-0025
WH4124,140,152,I-1651,19750122-0056
WH4125,100,99,I-1651,19900128-0095
WH4126,260,280,I-1652,19570615-0011
WH4127,120,106,I-1652,19790702-0038
WH4128,140,132,I-1652,19921201-0094
WH4129,280,274,I-1653,19610623-0005
WH4130,120,127,I-1653,19750906-0032
WH4131,260,272,I-1654,19560812-0016
WH4132,100,93,I-1654,19750705-0033
WH4133,240,225,I-1655,19610918-0027
WH4134,100,102,I-1655,19760524-0046
WH4135,100,101,I-1655,19920602-0073
WH4136,260,276,I-1656,19570826-0012
WH4137,120,110,I-1656,19780815-0047
WH4138,100,112,I-1656,19921123-0108
WH4139,260,251,I-1657,19560705-0025
WH4140,100,94,I-1657,19750102-0059
WH4141,280,280,I-1658,19600814-0002
WH4142,100,113,I-1658,19780602-0035
WH4143,260,272,I-1659,19560705-0025
WH4144,120,128,I-1659,19780317-0052
WH4145,140,142,I-1659,19910403-0103
WH4146,240,224,I-1660,19600905-0003
WH4147,120,121,I-1660,19781130-0054
WH4148,100,115,I-1660,19931118-0062
WH4149,260,247,I-1661,19680712-0028
WH4150,120,129,I-1661,19750512-0043
WH4151,100,92,I-1661,19930512-0117
WH4152,280,272,I-1662,19601021-0018
WH4153,120,134,I-1662,19750220-0037
WH4154,140,144,I-1662,19930709-0100
WH4155,280,264,I-1663,19580515-0017
WH4156,140,143,I-1663,19761024-0034
WH4157,100,119,I-1663,19920122-0065
WH4158,240,260,I-1664,19640414-0013
WH4159,120,113,I-1664,19780317-0052
WH4160,280,283,I-1665,19570826-0012
WH4161,120,137,I-1665,19761024-0034
WH4162,240,243,I-1666,19600529-0021
WH4163,120,123,I-1666,19780815-0047
WH4164,100,107,I-1666,19930616-0127
WH4165,240,235,I-1667,19660630-0020
WH4166,120,127,I-1667,19760108-0050
WH4167,120,117,I-1667,19921201-0094
WH4168,240,229,I-1668,19620424-0026
WH4169,120,137,I-1668,19780317-0052
WH4170,100,94,I-1668,19900211-0140
WH4171,260,247,I-1669,19620424-0026
WH4172,140,158,I-1669,19770713-0042
WH4173,120,118,I-1669,19930302-0135
WH4174,280,298,I-1670,19620831-0024
WH4175,100,114,I-1670,19760108-0050
WH4176,280,300,I-1671,19560612-0010
WH4177,140,130,I-1671,19750722-0060
WH4178,100,109,I-1671,19900902-0090
WH4179,280,281,I-1672,19620831-0024
WH4180,120,104,I-1672,19751018-0039
WH4181,100,109,I-1672,19900701-0113
WH4182,240,236,I-1673,19640414-0013
WH4183,120,106,I-1673,19780317-0052
WH4184,100,113,I-1673,19920505-0115
WH4185,260,259,I-1674,19650303-0019
WH4186,120,119,I-1674,19771013-0040
WH4187,280,275,I-1675,19680712-0028
WH4188,100,99,I-1675,19780815-0047
WH4189,100,85,I-1675,19920826-0088
WH4190,240,243,I-1676,19690513-0015
WH4191,140,146,I-1676,19750705-0033
WH4192,100,115,I-1676,19931226-0118
WH4193,280,266,I-1677,19561222-0030
WH4194,100,107,I-1677,19751018-0039
WH4195,280,273,I-1678,19600529-0021
WH4196,140,143,I-1678,19761020-0044
WH4197,140,136,I-1678,19901029-0071
WH4198,240,230,I-1679,19570828-0008
WH4199,100,101,I-1679,19770224-0058
WH4200,280,296,I-1680,19610918-0027
WH4201,140,144,I-1680,19781217-0053
WH4202,260,267,I-1681,19640414-0013
WH4203,100,87,I-1681,19750705-0033
WH4204,240,250,I-1682,19640220-0029
WH4205,100,93,I-1682,19750705-0033
WH4206,140,135,I-1682,19930414-0106
WH4207,260,278,I-1683,19660630-0020
WH4208,140,158,I-1683,19750102-0059
WH4209,240,233,I-1684,19590129-0004
WH4210,120,101,I-1684,19790426-0049
WH4211,240,225,I-1685,19600814-0002
WH4212,100,112,I-1685,19781217-0053
WH4213,120,108,I-1685,19901011-0119
WH4214,280,282,I-1686,19561222-0030
WH4215,140,134,I-1686,19781125-0031
WH4216,240,237,I-1687,19610918-0027
WH4217,100,99,I-1687,19760108-0050
WH4218,260,244,I-1688,19570826-0012
WH4219,120,104,I-1688,19770224-0058
WH4220,100,113,I-1688,19901219-0125
WH4221,240,247,I-1689,19600814-0002
WH4222,120,103,I-1689,19750906-0032
WH4223,120,132,I-1689,19930829-0082
WH4224,260,248,I-1690,19690917-0022
WH4225,140,142,I-1690,19760108-0050
WH4226,240,239,I-1691,19690917-0022
WH4227,140,127,I-1691,19750722-0060
WH4228,100,85,I-1691,19910822-0122
WH4229,240,258,I-1692,19690917-0022
WH4230,140,141,I-1692,19790618-0048
WH4231,140,147,I-1692,19900511-0134
WH4232,260,247,I-1693,19610620-0006
WH4233,100,99,I-1693,19750512-0043
WH4234,280,294,I-1694,19600814-0002
WH4235,120,120,I-1694,19750722-0060
WH4236,280,299,I-1695,19601021-0018
WH4237,140,147,I-1695,19790717-0045
WH4238,140,153,I-1695,19900818-0116
WH4239,280,286,I-1696,19610623-0005
WH4240,120,113,I-1696,19770224-0058
WH4241,280,263,I-1697,19570826-0012
WH4242,100,117,I-1697,19780317-0052
WH4243,140,138,I-1697,19900317-0083
WH4244,260,249,I-1698,19601021-0018
WH4245,140,153,I-1698,19750705-0033
WH4246,240,226,I-1699,19630126-0001
WH4247,140,155,I-1699,19750122-0056
WH4248,280,276,I-1700,19610918-0027
WH4249,120,121,I-1700,19761009-0055
WH4250,140,131,I-1700,19900211-0140
WH4251,260,276,I-1701,19601021-0018
WH4252,140,156,I-1701,19771013-0040
WH4253,100,94,I-1701,19910206-0081
WH4254,260,264,I-1702,19590129-0004
WH4255,100,85,I-1702,19761024-0034
WH4256,140,153,I-1702,19921002-0129
WH4257,240,232,I-1703,19590129-0004
WH4258,120,122,I-1703,19751018-0039
WH4259,100,110,I-1703,19910404-0102
WH4260,260,265,I-1704,19600529-0021
WH4261,100,104,I-1704,19780317-0052
WH4262,240,240,I-1705,19640220-0029
WH4263,120,105,I-1705,19771013-0040
WH4264,140,152,I-1705,19900211-0140
WH4265,240,245,I-1706,19610623-0005
WH4266,100,105,I-1706,19780317-0052
WH4267,120,102,I-1706,19921127-0120
WH4268,240,239,I-1707,19570828-0008
WH4269,100,84,I-1707,19781217-0053
WH4270,240,224,I-1708,19620831-0024
WH4271,100,112,I-1708,19751018-0039
WH4272,280,271,I-1709,19560812-0016
WH4273,120,102,I-1709,19790702-0038
WH4274,260,279,I-1710,19570615-0011
WH4275,120,136,I-1710,19790426-0049
WH4276,120,127,I-1710,19930906-0110
WH4277,240,253,I-1711,19570615-0011
WH4278,120,131,I-1711,19750906-0032
WH4279,140,144,I-1711,19900801-0130
WH4280,260,269,I-1712,19690917-0022
WH4281,120,133,I-1712,19750331-0036
WH4282,280,289,I-1713,19650303-0019
WH4283,100,113,I-1713,19780424-0057
WH4284,280,292,I-1714,19680712-0028
WH4285,100,91,I-1714,19760108-0050
WH4286,100,116,I-1714,19901219-0125
WH4287,240,232,I-1715,19580218-0007
WH4288,120,101,I-1715,19780602-0035
WH4289,100,90,I-1715,19931118-0062
WH4290,280,282,I-1716,19610623-0005
WH4291,100,111,I-1716,19760524-0046
WH4292,280,300,I-1717,19561222-0030
WH4293,100,81,I-1717,19790618-0048
WH4294,120,124,I-1717,19910820-0078
WH4295,260,266,I-1718,19690513-0015
WH4296,140,155,I-1718,19750705-0033
WH4297,140,122,I-1718,19910122-0077
WH4298,260,259,I-1719,19590129-0004
WH4299,120,134,I-1719,19761024-0034
WH4300,240,252,I-1720,19690408-0009
WH4301,120,129,I-1720,19750102-0059
WH4302,120,101,I-1720,19931212-0079
WH4303,260,241,I-1721,19610623-0005
WH4304,100,105,I-1721,19750705-0033
WH4305,280,295,I-1722,19660630-0020
WH4306,120,115,I-1722,19750705-0033
WH4307,120,110,I-1722,19900307-0105
WH4308,260,258,I-1723,19570828-0008
WH4309,100,116,I-1723,19750417-0051
WH4310,260,241,I-1724,19600529-0021
WH4311,120,108,I-1724,19780317-0052
WH4312,280,269,I-1725,19630126-0001
WH4313,140,149,I-1725,19760108-0050
WH4314,120,125,I-1725,19920316-0107
WH4315,280,283,I-1726,19610918-0027
WH4316,100,85,I-1726,19750417-0051
WH4317,140,150,I-1726,19900430-0112
WH4318,260,279,I-1727,19580515-0017
WH4319,140,128,I-1727,19790702-0038
WH4320,260,278,I-1728,19690513-0015
WH4321,120,137,I-1728,19760524-0046
WH4322,140,120,I-1728,19901026-0111
WH4323,240,254,I-1729,19601021-0018
WH4324,100,84,I-1729,19780815-0047
WH4325,120,114,I-1729,19910206-0081
WH4326,240,260,I-1730,19610620-0006
WH4327,120,111,I-1730,19771013-0040
WH4328,260,268,I-1731,19620831-0024
WH4329,140,149,I-1731,19750102-0059
WH4330,240,226,I-1732,19580218-0007
WH4331,140,160,I-1732,19790708-0041
WH4332,280,278,I-1733,19600814-0002
WH4333,120,134,I-1733,19780815-0047
WH4334,120,111,I-1733,19901002-0085
WH4335,260,255,I-1734,19560612-0010
WH4336,120,123,I-1734,19750102-0059
WH4337,100,113,I-1734,19910404-0102
WH4338,280,280,I-1735,19610623-0005
WH4339,140,120,I-1735,19771013-0040
WH4340,140,149,I-1735,19921002-0129
WH4341,280,282,I-1736,19590129-0004
WH4342,100,113,I-1736,19780815-0047
WH4343,260,249,I-1737,19580218-0007
WH4344,140,147,I-1737,19750722-0060
WH4345,240,246,I-1738,19570828-0008
WH4346,120,109,I-1738,19761020-0044
WH4347,260,262,I-1739,19610623-0005
WH4348,120,119,I-1739,19770713-0042
WH4349,240,232,I-1740,19640220-0029
WH4350,140,145,I-1740,19790426-0049
WH4351,100,87,I-1740,19901108-0087
WH4352,260,255,I-1741,19690917-0022
WH4353,120,113,I-1741,19750705-0033
WH4354,100,80,I-1741,19900128-0095
WH4355,240,259,I-1742,19570615-0011
WH4356,100,114,I-1742,19770713-0042
WH4357,140,126,I-1742,19930512-0117
WH4358,260,276,I-1743,19690408-0009
WH4359,120,111,I-1743,19781217-0053
WH4360,280,268,I-1744,19570828-0008
WH4361,100,112,I-1744,19781130-0054
WH4362,240,229,I-1745,19560812-0016
WH4363,100,87,I-1745,19790708-0041
WH4364,240,249,I-1746,19620424-0026
WH4365,100,106,I-1746,19781217-0053
WH4366,280,290,I-1747,19650303-0019
WH4367,100,112,I-1747,19790708-0041
WH4368,100,96,I-1747,19900701-0138
WH4369,240,232,I-1748,19570615-0011
WH4370,100,83,I-1748,19761024-0034
WH4371,140,160,I-1748,19931118-0062
WH4372,260,273,I-1749,19630126-0001
WH4373,100,89,I-1749,19750512-0043
WH4374,100,114,I-1749,19900201-0074
WH4375,260,259,I-1750,19561222-0030
WH4376,120,103,I-1750,19751018-0039
WH4377,120,112,I-1750,19900321-0080
WH4378,260,259,I-1751,19680712-0028
WH4379,120,113,I-1751,19790702-0038
WH4380,100,120,I-1751,19900211-0140
WH4381,280,262,I-1752,19610623-0005
WH4382,140,150,I-1752,19761024-0034
WH4383,240,232,I-1753,19690513-0015
WH4384,100,104,I-1753,19790426-0049
WH4385,240,241,I-1754,19611219-0014
WH4386,140,153,I-1754,19761020-0044
WH4387,100,111,I-1754,19920917-0109
WH4388,240,238,I-1755,19570826-0012
WH4389,100,85,I-1755,19780602-0035
WH4390,100,108,I-1755,19900124-0064
WH4391,260,243,I-1756,19640414-0013
WH4392,140,147,I-1756,19780815-0047
WH4393,100,85,I-1756,19900801-0130
WH4394,240,240,I-1757,19680712-0028
WH4395,100,88,I-1757,19790618-0048
WH4396,140,157,I-1757,19920917-0109
WH4397,260,271,I-1758,19640414-0013
WH4398,120,113,I-1758,19790426-0049
WH4399,140,156,I-1758,19921208-0097
WH4400,260,256,I-1759,19660630-0020
WH4401,100,99,I-1759,19780815-0047
WH4402,260,252,I-1760,19561222-0030
WH4403,120,115,I-1760,19770713-0042
WH4404,100,97,I-1760,19900511-0134
WH4405,280,281,I-1761,19600905-0003
WH4406,140,146,I-1761,19781130-0054
WH4407,100,85,I-1761,19910403-0131
WH4408,240,254,I-1762,19590129-0004
WH4409,100,114,I-1762,19750512-0043
WH4410,260,247,I-1763,19580515-0017
WH4411,100,113,I-1763,19781125-0031
WH4412,100,85,I-1763,19910404-0102
WH4413,240,244,I-1764,19680712-0028
WH4414,100,117,I-1764,19750220-0037
WH4415,140,158,I-1764,19901108-0087
WH4416,280,275,I-1765,19570828-0008
WH4417,140,136,I-1765,19760108-0050
WH4418,260,275,I-1766,19560705-0025
WH4419,120,103,I-1766,19750906-0032
WH4420,260,259,I-1767,19590129-0004
WH4421,120,134,I-1767,19750220-0037
WH4422,240,248,I-1768,19570615-0011
WH4423,140,145,I-1768,19750331-0036
WH4424,100,91,I-1768,19920206-0072
WH4425,240,244,I-1769,19610620-0006
WH4426,120,100,I-1769,19761009-0055
WH4427,120,105,I-1769,19920504-0093
WH4428,280,290,I-1770,19620522-0023
WH4429,120,106,I-1770,19750512-0043
WH4430,260,278,I-1771,19580515-0017
WH4431,140,140,I-1771,19780424-0057
WH4432,120,109,I-1771,19900321-0080
WH4433,260,275,I-1772,19600814-0002
WH4434,120,114,I-1772,19780815-0047
WH4435,120,140,I-1772,19910206-0081
WH4436,280,261,I-1773,19610620-0006
WH4437,100,116,I-1773,19761024-0034
WH4438,280,272,I-1774,19600814-0002
WH4439,140,137,I-1774,19781217-0053
WH4440,140,159,I-1774,19900430-0112
WH4441,280,270,I-1775,19600814-0002
WH4442,100,86,I-1775,19761024-0034
WH4443,100,92,I-1775,19921208-0097
WH4444,240,259,I-1776,19601021-0018
WH4445,140,153,I-1776,19760524-0046
WH4446,140,150,I-1776,19900128-0095
WH4447,280,274,I-1777,19620522-0023
WH4448,120,108,I-1777,19750220-0037
WH4449,140,157,I-1777,19930302-0135
WH4450,280,279,I-1778,19610918-0027
WH4451,120,112,I-1778,19770713-0042
WH4452,140,133,I-1778,19921002-0129
WH4453,280,286,I-1779,19610623-0005
WH4454,140,157,I-1779,19790702-0038
WH4455,140,139,I-1779,19910403-0103
WH4456,240,246,I-1780,19630126-0001
WH4457,140,143,I-1780,19750906-0032
WH4458,120,120,I-1780,19901026-0111
WH4459,280,274,I-1781,19610620-0006
WH4460,100,94,I-1781,19751018-0039
WH4461,120,106,I-1781,19920917-0109
WH4462,260,278,I-1782,19680712-0028
WH4463,140,125,I-1782,19790702-0038
WH4464,260,247,I-1783,19611219-0014
WH4465,140,144,I-1783,19790426-0049
WH4466,100,118,I-1783,19900520-0063
WH4467,260,254,I-1784,19570615-0011
WH4468,100,87,I-1784,19761020-0044
WH4469,140,159,I-1784,19900616-0124
WH4470,240,221,I-1785,19570615-0011
WH4471,100,100,I-1785,19750122-0056
WH4472,260,271,I-1786,19650303-0019
WH4473,100,93,I-1786,19750122-0056
WH4474,100,117,I-1786,19921123-0108
WH4475,240,234,I-1787,19580515-0017
WH4476,120,138,I-1787,19750102-0059
WH4477,260,242,I-1788,19560705-0025
WH4478,120,133,I-1788,19790717-0045
WH4479,260,258,I-1789,19620424-0026
WH4480,100,93,I-1789,19750220-0037
WH4481,240,244,I-1790,19610620-0006
WH4482,120,109,I-1790,19780424-0057
WH4483,100,87,I-1790,19930919-0137
WH4484,260,263,I-1791,19690408-0009
WH4485,100,111,I-1791,19750102-0059
WH4486,140,128,I-1791,19910206-0081
WH4487,280,266,I-1792,19690408-0009
WH4488,100,88,I-1792,19760524-0046
WH4489,240,252,I-1793,19610918-0027
WH4490,140,126,I-1793,19780424-0057
WH4491,120,133,I-1793,19911116-0069
WH4492,240,221,I-1794,19690513-0015
WH4493,120,114,I-1794,19750417-0051
WH4494,260,280,I-1795,19690513-0015
WH4495,100,80,I-1795,19761024-0034
WH4496,120,131,I-1795,19900902-0114
WH4497,280,273,I-1796,19580218-0007
WH4498,100,98,I-1796,19761009-0055
WH4499,260,275,I-1797,19620522-0023
WH4500,140,152,I-1797,19790426-0049
WH4501,140,154,I-1797,19900211-0140
WH4502,280,272,I-1798,19680712-0028
WH4503,140,147,I-1798,19761024-0034
WH4504,120,111,I-1798,19910403-0103
WH4505,280,287,I-1799,19690917-0022
WH4506,140,120,I-1799,19781130-0054
WH4507,140,144,I-1799,19931212-0079
WH4508,280,279,I-1800,19660630-0020
WH4509,140,146,I-1800,19750417-0051
WH4510,280,275,I-1801,19690408-0009
WH4511,120,126,I-1801,19761024-0034
WH4512,260,267,I-1802,19580218-0007
WH4513,100,83,I-1802,19781125-0031
WH4514,100,90,I-1802,19920602-0073
WH4515,280,299,I-1803,19560812-0016
WH4516,100,95,I-1803,19790717-0045
WH4517,280,260,I-1804,19560705-0025
WH4518,100,93,I-1804,19781125-0031
WH4519,240,247,I-1805,19560812-0016
WH4520,120,113,I-1805,19750122-0056
WH4521,120,138,I-1805,19920826-0088
WH4522,260,271,I-1806,19690408-0009
WH4523,100,95,I-1806,19750122-0056
WH4524,100,98,I-1806,19900201-0074
WH4525,240,259,I-1807,19570615-0011
WH4526,120,114,I-1807,19751018-0039
WH4527,280,278,I-1808,19690917-0022
WH4528,100,85,I-1808,19780815-0047
WH4529,120,106,I-1808,19901026-0111
WH4530,280,282,I-1809,19640414-0013
WH4531,140,127,I-1809,19780317-0052
WH4532,120,134,I-1809,19901002-0085
WH4533,280,278,I-1810,19601021-0018
WH4534,140,147,I-1810,19750906-0032
WH4535,240,245,I-1811,19601021-0018
WH4536,100,102,I-1811,19750331-0036
WH4537,120,127,I-1811,19930221-0139
WH4538,280,265,I-1812,19680712-0028
WH4539,140,144,I-1812,19790702-0038
WH4540,120,139,I-1812,19900211-0140
WH4541,240,225,I-1813,19611219-0014
WH4542,120,104,I-1813,19790708-0041
WH4543,240,220,I-1814,19690408-0009
WH4544,140,158,I-1814,19761009-0055
WH4545,240,239,I-1815,19680712-0028
WH4546,120,130,I-1815,19750122-0056
WH4547,120,115,I-1815,19910122-0077
WH4548,260,248,I-1816,19640414-0013
WH4549,120,133,I-1816,19770713-0042
WH4550,140,142,I-1816,19910822-0122
WH4551,240,245,I-1817,19650303-0019
WH4552,120,128,I-1817,19780815-0047
WH4553,140,137,I-1817,19900909-0123
WH4554,280,288,I-1818,19601021-0018
WH4555,100,84,I-1818,19760524-0046
WH4556,120,104,I-1818,19900902-0114
WH4557,280,276,I-1819,19640220-0029
WH4558,100,109,I-1819,19750417-0051
WH4559,120,105,I-1819,19910514-0068
WH4560,260,243,I-1820,19660630-0020
WH4561,140,144,I-1820,19761009-0055
WH4562,120,131,I-1820,19911025-0091
WH4563,240,237,I-1821,19611219-0014
WH4564,120,122,I-1821,19781130-0054
WH4565,240,249,I-1822,19640414-0013
WH4566,120,115,I-1822,19781217-0053
WH4567,100,92,I-1822,19900619-0076
WH4568,280,272,I-1823,19560812-0016
WH4569,140,138,I-1823,19750705-0033
WH4570,100,109,I-1823,19910817-0092
WH4571,280,273,I-1824,19600529-0021
WH4572,140,140,I-1824,19750512-0043
WH4573,100,102,I-1824,19900119-0104
WH4574,240,246,I-1825,19630126-0001
WH4575,140,132,I-1825,19780317-0052
WH4576,260,250,I-1826,19580218-0007
WH4577,100,100,I-1826,19770224-0058
WH4578,140,139,I-1826,19910101-0133
WH4579,240,241,I-1827,19600814-0002
WH4580,140,156,I-1827,19750220-0037
WH4581,240,253,I-1828,19610918-0027
WH4582,100,117,I-1828,19750220-0037
WH4583,260,259,I-1829,19610623-0005
WH4584,120,127,I-1829,19781130-0054
WH4585,260,253,I-1830,19680712-0028
WH4586,120,137,I-1830,19750512-0043
WH4587,120,129,I-1830,19920505-0115
WH4588,240,234,I-1831,19600905-0003
WH4589,100,103,I-1831,19790708-0041
WH4590,140,121,I-1831,19910927-0128
WH4591,240,224,I-1832,19640220-0029
WH4592,120,101,I-1832,19750102-0059
WH4593,120,112,I-1832,19900909-0123
WH4594,240,235,I-1833,19600814-0002
WH4595,100,109,I-1833,19750220-0037
WH4596,280,298,I-1834,19570615-0011
WH4597,100,108,I-1834,19760524-0046
WH4598,240,231,I-1835,19570828-0008
WH4599,100,108,I-1835,19770224-0058
WH4600,260,251,I-1836,19600529-0021
WH4601,140,152,I-1836,19780815-0047
WH4602,120,114,I-1836,19901011-0119
WH4603,260,248,I-1837,19690408-0009
WH4604,140,132,I-1837,19780317-0052
WH4605,280,294,I-1838,19620831-0024
WH4606,100,104,I-1838,19761020-0044
WH4607,140,160,I-1838,19930906-0110
WH4608,240,237,I-1839,19600905-0003
WH4609,100,98,I-1839,19781125-0031
WH4610,100,105,I-1839,19910206-0081
WH4611,240,240,I-1840,19620522-0023
WH4612,120,127,I-1840,19780602-0035
WH4613,280,288,I-1841,19620424-0026
WH4614,100,117,I-1841,19770224-0058
WH4615,140,151,I-1841,19930829-0082
WH4616,260,256,I-1842,19630126-0001
WH4617,100,108,I-1842,19790618-0048
WH4618,100,111,I-1842,19930508-0061
WH4619,260,269,I-1843,19650303-0019
WH4620,100,109,I-1843,19781217-0053
WH4621,120,137,I-1843,19900128-0095
WH4622,260,246,I-1844,19570828-0008
WH4623,120,115,I-1844,19780424-0057
WH4624,240,226,I-1845,19610620-0006
WH4625,140,138,I-1845,19761024-0034
WH4626,140,138,I-1845,19920320-0121
WH4627,240,225,I-1846,19640220-0029
WH4628,140,120,I-1846,19750512-0043
WH4629,240,221,I-1847,19560612-0010
